id,name,full_name,,repo_name,created_at,updated_at,pushed_at,stargazers_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,mirror_url,open_issues_count,Commit,Branch,Release,Contributor,License,owner_id,owner_login,location
39016076,gtf,leekchan,gtf,leekchan/gtf,2015-07-13T14:11:01Z,2017-08-28T11:05:33Z,2017-07-19T05:28:02Z,262,TRUE,TRUE,TRUE,TRUE,FALSE,10,,1,71,2,0,2,MIT,,,Korea
56836509,react-native-fit-image,huiseoul,react-native-fit-image,huiseoul/react-native-fit-image,2016-04-22T07:43:12Z,2017-09-10T13:58:54Z,2017-08-20T16:14:09Z,261,TRUE,FALSE,TRUE,TRUE,FALSE,28,,7,108,1,21,7,MIT,,,Korea
73341053,ac-gan,buriburisuri,ac-gan,buriburisuri/ac-gan,2016-11-10T02:45:23Z,2017-09-09T18:25:03Z,2017-01-11T05:24:38Z,259,TRUE,TRUE,TRUE,TRUE,FALSE,66,,1,5,1,0,1,MIT,,,Korea
27857842,Unity-QuickSheet,kimsama,Unity-QuickSheet,kimsama/Unity-QuickSheet,2014-12-11T06:42:21Z,2017-09-08T07:31:10Z,2017-07-18T13:12:06Z,249,TRUE,TRUE,TRUE,TRUE,TRUE,49,,7,238,5,11,3,MIT,,,Korea
22027740,scalajs-angular,greencatsoft,scalajs-angular,greencatsoft/scalajs-angular,2014-07-20T06:46:33Z,2017-07-11T20:20:30Z,2017-07-17T06:03:27Z,243,TRUE,TRUE,TRUE,TRUE,FALSE,43,,17,334,2,7,25,Apache-2.0,,,Korea
5853673,hibernate-redis,debop,hibernate-redis,debop/hibernate-redis,2012-09-18T08:53:12Z,2017-09-10T18:13:20Z,2017-07-11T10:14:18Z,238,TRUE,TRUE,TRUE,TRUE,TRUE,138,,16,441,11,37,7,Apache-2.0,,,Korea
101967638,KUIPopOver,Kofktu,KUIPopOver,Kofktu/KUIPopOver,2017-08-31T06:32:59Z,2017-09-11T03:49:20Z,2017-09-09T04:46:58Z,233,TRUE,TRUE,TRUE,TRUE,FALSE,13,,0,29,2,4,1,MIT,,,Korea
45332311,scalechain,ScaleChain,scalechain,ScaleChain/scalechain,2015-11-01T07:52:07Z,2017-09-09T23:11:58Z,2017-09-09T23:11:54Z,231,TRUE,TRUE,TRUE,TRUE,FALSE,71,,11,633,28,5,9,Apache-2.0,,,Korea
101277739,VoiceRipple,wotomas,VoiceRipple,wotomas/VoiceRipple,2017-08-24T09:27:47Z,2017-09-08T06:27:14Z,2017-09-04T23:34:07Z,229,TRUE,TRUE,TRUE,TRUE,FALSE,22,,2,37,3,0,2,Apache-2.0,,,Korea
18265739,geofront,spoqa,geofront,spoqa/geofront,2014-03-30T14:34:46Z,2017-08-08T16:01:41Z,2017-08-06T07:38:52Z,228,TRUE,TRUE,TRUE,FALSE,FALSE,24,,9,248,4,9,15,AGPL-3.0,,,Korea
29851010,AppRTCDemo,njovy,AppRTCDemo,njovy/AppRTCDemo,2015-01-26T08:01:37Z,2017-09-09T18:02:56Z,2017-07-13T23:52:56Z,220,TRUE,TRUE,TRUE,TRUE,FALSE,136,,37,41,2,15,3,Apache-2.0,,,Korea
72621417,ByteNet,buriburisuri,ByteNet,buriburisuri/ByteNet,2016-11-02T08:54:46Z,2017-09-03T10:44:47Z,2017-06-17T04:55:51Z,220,TRUE,TRUE,TRUE,TRUE,FALSE,60,,3,18,2,0,1,MIT,,,Korea
93848675,Umbrella,devxoul,Umbrella,devxoul/Umbrella,2017-06-09T10:38:22Z,2017-09-06T13:26:58Z,2017-08-19T07:44:18Z,214,TRUE,FALSE,TRUE,FALSE,FALSE,6,,4,45,1,9,1,MIT,,,Korea
13824226,ScalableLayout,ssomai,ScalableLayout,ssomai/ScalableLayout,2013-10-24T06:24:18Z,2017-09-07T09:23:03Z,2017-09-06T04:30:48Z,213,TRUE,TRUE,TRUE,TRUE,FALSE,85,,15,193,2,7,3,Apache-2.0,,,Korea
16902695,arcus,naver,arcus,naver/arcus,2014-02-17T05:19:37Z,2017-09-07T11:21:03Z,2017-09-01T01:59:45Z,213,TRUE,TRUE,TRUE,TRUE,TRUE,64,,0,95,2,0,4,Apache-2.0,,,Korea
84173588,Drrrible,devxoul,Drrrible,devxoul/Drrrible,2017-03-07T08:21:53Z,2017-09-07T06:16:28Z,2017-09-10T04:33:18Z,213,TRUE,TRUE,TRUE,TRUE,FALSE,19,,0,215,1,2,3,MIT,,,Korea
38230413,TIL,milooy,TIL,milooy/TIL,2015-06-29T06:00:57Z,2017-09-06T14:00:34Z,2017-07-07T09:32:32Z,206,TRUE,TRUE,TRUE,TRUE,TRUE,63,,0,401,2,0,8,MIT,,,Korea
49814582,TedPicker,ParkSangGwon,TedPicker,ParkSangGwon/TedPicker,2016-01-17T11:30:07Z,2017-09-06T16:44:13Z,2017-04-25T10:02:22Z,199,TRUE,TRUE,TRUE,TRUE,FALSE,67,,28,56,1,7,5,MIT,,,Korea
11975422,summernote-rails,summernote,summernote-rails,summernote/summernote-rails,2013-08-08T12:08:56Z,2017-09-10T08:37:48Z,2017-08-18T13:24:13Z,196,TRUE,TRUE,TRUE,TRUE,TRUE,64,,6,95,3,27,17,MIT,,,Korea
42779186,CppCoreGuidelines,CppKorea,CppCoreGuidelines,CppKorea/CppCoreGuidelines,2015-09-19T15:53:45Z,2017-09-07T10:05:11Z,2017-05-12T07:44:37Z,195,TRUE,TRUE,TRUE,TRUE,TRUE,47,,0,409,2,0,7,GPL-3.0,,,Korea
